country,name,full_name,tag,isin,id,currency,symbol
brazil,ABC BRASIL PN,Banco ABC Brasil SA,abc-brasil-pn-ej-n2,BRABCBACNPR4,18589,BRL,ABCB4
brazil,BRASILAGRO ON,BrasilAgro - Co ON NM,brasilagro-on-nm,BRAGROACNOR7,18592,BRL,AGRO3
brazil,RUMO ON NM,RUMO Logistica Operadora Multimodal SA,all-amer-lat-on-nm,BRRAILACNOR9,18593,BRL,RAIL3
brazil,ALPARGATAS ON,Alpargatas SA,alpargatas-on-n1,BRALPAACNOR0,18594,BRL,ALPA3
brazil,ALPARGATAS PN,Alpargatas SA,alpargatas-pn-n1,BRALPAACNPR7,18595,BRL,ALPA4
brazil,Aliansce Sonae,Aliansce Sonae Shopping Centers SA,aliansce-on-nm,BRALSOACNOR5,18596,BRL,ALSO3
brazil,LOJAS MARISA ON,Marisa Lojas SA,lojas-marisa-on,BRAMARACNOR4,18597,BRL,AMAR3
brazil,AMBEV S/A ON,Ambev SA,ambev-pn,BRABEVACNOR1,18599,BRL,ABEV3
brazil,Advanced Digital Health,Advanced Digital Health Medicina Preventiva SA,all-ore-on,BRADHMACNOR9,18601,BRL,ADHM3
brazil,AREZZO CO ON,Arezzo Industria e Comercio SA,arezzo-co-on-ej-nm,BRARZZACNOR3,18602,BRL,ARZZ3
brazil,BRASIL ON,Banco do Brasil SA,brasil-on,BRBBASACNOR3,18604,BRL,BBAS3
brazil,BRADESCO ON,Banco Bradesco SA,bradesco-on-n1,BRBBDCACNOR1,18605,BRL,BBDC3
brazil,BRADESCO PN EJ N1,Banco Bradesco SA Pref,bradesco-pn-n1,BRBBDCACNPR8,18606,BRL,BBDC4
brazil,BR BROKERS ON,Brasil Brokers Participacoes SA,br-brokers-on,BRBBRKACNOR4,18607,BRL,BBRK3
brazil,MINERVA ON,Minerva SA/Brazil,minerva-on-nm,BRBEEFACNOR6,18608,BRL,BEEF3
brazil,BR PHARMA ON,Brasil Pharma SA,br-pharma-on,BRBPHAACNOR6,18613,BRL,BPHA3
brazil,BANCO PAN SA PN,Banco Pan SA,panamericano-pn,BRBPANACNPR1,18614,BRL,BPAN4
brazil,BRADESPAR ON,Bradespar SA,bradespar-on-n1,BRBRAPACNOR5,18615,BRL,BRAP3
brazil,BRADESPAR PN,Bradespar SA,bradespar-pn-n1,BRBRAPACNPR2,18616,BRL,BRAP4
brazil,BRF SA ON,BRF SA,brf-foods-on-ej-nm,BRBRFSACNOR8,18617,BRL,BRFS3
brazil,BR Insurance Corretora,BR Insurance Corretora de Seguros SA,br-insurance-on-nm,BRAPERACNOR9,18618,BRL,APER3
brazil,BRASKEM ON,Braskem SA,braskem-on-n1,BRBRKMACNOR1,18619,BRL,BRKM3
brazil,BRASKEM PNA,Braskem SA,braskem-pna-n1,BRBRKMACNPA4,18620,BRL,BRKM5
brazil,BR MALLS PAR ON,BR Malls Participacoes SA,br-malls-par-on-nm,BRBRMLACNOR9,18621,BRL,BRML3
brazil,BR PROPERT ON,BR Properties SA,br-propert-on-nm,BRBRPRACNOR9,18622,BRL,BRPR3
brazil,BANRISUL PNB,BANRISUL PNB N1,banrisul-pnb-n1,BRBRSRACNPB4,18623,BRL,BRSR6
brazil,OI ON N1,Oi SA,brasil-telec-on,BROIBRACNOR1,18624,BRL,OIBR3
brazil,OI PN,Oi SA Pref,oi-pn,BROIBRACNPR8,18625,BRL,OIBR4
brazil,B2W DIGITAL ON,B2W Cia Digital,b2w-varejo-on-nm,BRBTOWACNOR8,18626,BRL,BTOW3
brazil,B3 SA Brasil Bolsa Balcao,B3 SA Brasil Bolsa Balcao,bmfbovespa-on-nm,BRB3SAACNOR6,18628,BRL,B3SA3
brazil,CAMBUCI PN,Cambuci SA,cambuci-pn,BRCAMBACNPR1,18629,BRL,CAMB4
brazil,CSU CARDSYST ON,CSU Cardsystem SA,csu-cardsyst-on-nm,BRCARDACNOR9,18630,BRL,CARD3
